n,flops,time(s),dgemm
2,28,4.72E-06,5.93E+06
3,90,7.22E-06,1.25E+07
4,208,1.05E-05,1.98E+07
5,400,9.32E-06,4.29E+07
6,684,1.26E-05,5.44E+07
7,1078,1.70E-05,6.35E+07
8,1600,2.34E-05,6.84E+07
9,2268,3.01E-05,7.52E+07
10,3100,3.81E-05,8.14E+07
11,4114,4.79E-05,8.58E+07
12,5328,7.18E-05,7.42E+07
13,6760,7.25E-05,9.32E+07
14,8428,9.28E-05,9.09E+07
15,10350,1.06E-04,9.73E+07
16,12544,1.31E-04,9.58E+07
17,15028,1.54E-04,9.74E+07
18,17820,1.78E-04,1.00E+08
19,20938,1.62E-04,1.29E+08
20,24400,2.91E-04,8.39E+07
21,28224,1.96E-04,1.44E+08
22,32428,2.06E-04,1.58E+08
23,37030,2.22E-04,1.67E+08
24,42048,2.27E-04,1.85E+08
25,47500,2.64E-04,1.80E+08
26,53404,2.71E-04,1.97E+08
27,59778,2.79E-04,2.14E+08
28,66640,4.35E-04,1.53E+08
29,74008,3.69E-04,2.01E+08
30,81900,3.28E-04,2.50E+08
31,90334,3.56E-04,2.54E+08
32,99328,4.09E-04,2.43E+08
33,108900,5.38E-04,2.02E+08
34,119068,4.73E-04,2.52E+08
35,129850,5.33E-04,2.44E+08
36,141264,5.47E-04,2.58E+08
37,153328,6.03E-04,2.54E+08
38,166060,7.27E-04,2.28E+08
39,179478,6.94E-04,2.59E+08
40,193600,8.63E-04,2.24E+08
41,208444,9.52E-04,2.19E+08
42,224028,8.77E-04,2.55E+08
43,240370,1.15E-03,2.08E+08
44,257488,1.00E-03,2.57E+08
45,275400,1.11E-03,2.48E+08
46,294124,1.40E-03,2.09E+08
47,313678,1.43E-03,2.19E+08
48,334080,1.40E-03,2.39E+08
49,355348,1.45E-03,2.45E+08
50,377500,1.48E-03,2.55E+08
51,400554,1.60E-03,2.50E+08
52,424528,1.82E-03,2.33E+08
53,449440,1.79E-03,2.51E+08
54,475308,1.98E-03,2.41E+08
55,502150,2.03E-03,2.47E+08
56,529984,2.11E-03,2.51E+08
57,558828,2.33E-03,2.40E+08
58,588700,2.43E-03,2.42E+08
59,619618,2.52E-03,2.46E+08
60,651600,2.64E-03,2.47E+08
61,684664,2.82E-03,2.43E+08
62,718828,3.08E-03,2.33E+08
63,754110,3.67E-03,2.05E+08
64,790528,3.75E-03,2.11E+08
65,828100,3.37E-03,2.46E+08
66,866844,3.46E-03,2.50E+08
67,906778,3.59E-03,2.53E+08
68,947920,3.83E-03,2.48E+08
69,990288,4.01E-03,2.47E+08
