n, l1_duration, l2_duration, l3_duration
2, 2.888e-06, 5.586e-07, 7.04e-08
4, 1.576e-07, 4.028e-07, 1.168e-07
8, 1.906e-07, 3.39e-07, 1.966e-07
16, 2.09e-07, 3.502e-07, 3.506e-07
32, 1.694e-07, 6.45e-07, 1.614e-06
64, 1.774e-07, 1.7832e-06, 8.3428e-06
128, 7.32e-07, 0.0015382738, 1.84764e-05
256, 1.4974e-06, 0.0030108308, 0.0009756666
512, 2.5142e-06, 0.0017964232, 0.0007638774
1024, 3.0358e-06, 0.0006819438, 0.0057344224
2048, 4.8706e-06, 0.002295007, 0.0397440584
4096, 9.7434e-06, 0.009749783, 0.2775081158
