n, l1_flops, l1_avg_time, L1 (daxpy), L1 (daxpy), l2_flops, l2_avg_time, L2 (dgemv), L2 (dgemv), l3_flops, l3_avg_time, L3 (dgemm), L3 (dgemm)
2, 4, 8.99e-07, 4449388.209, 4.449388209, 14, 5.392e-07, 25964391.69, 25.96439169, 28, 6.94e-08, 403458213.3, 403.4582133
4, 8, 1.466e-07, 54570259.21, 54.57025921, 44, 2.642e-07, 166540499.6, 166.5404996, 176, 7.7e-08, 2285714286, 2285.714286
8, 16, 1.924e-07, 83160083.16, 83.16008316, 152, 4.654e-07, 326600773.5, 326.6007735, 1216, 1.596e-07, 7619047619, 7619.047619
16, 32, 2.67e-07, 119850187.3, 119.8501873, 560, 4.396e-07, 1273885350, 1273.88535, 8960, 3.846e-07, 2.329693188e+10, 23296.93188
32, 64, 3.174e-07, 201638311.3, 201.6383113, 2144, 6.8e-07, 3152941176, 3152.941176, 68608, 1.6144e-06, 4.24975223e+10, 42497.5223
64, 128, 2.71e-07, 472324723.2, 472.3247232, 8384, 1.973e-06, 4249366447, 4249.366447, 536576, 8.361e-06, 6.41760555e+10, 64176.0555
128, 256, 3.96e-07, 646464646.5, 646.4646465, 33152, 0.0001143922, 289809969.6, 289.8099696, 4243456, 1.85422e-05, 2.288539655e+11, 228853.9655
256, 512, 8.83e-07, 579841449.6, 579.8414496, 131840, 2.4241e-05, 5438719525, 5438.719525, 33751040, 9.7227e-05, 3.47136495e+11, 347136.495
512, 1024, 1.444e-06, 709141274.2, 709.1412742, 525824, 0.000135459, 3881794491, 3881.794491, 269221888, 0.0007251806, 3.71248056e+11, 371248.056
1024, 2048, 3.478e-06, 588844163.3, 588.8441633, 2100224, 0.0008333546, 2520204484, 2520.204484, 2150629376, 0.0052845738, 4.069636374e+11, 406963.6374
2048, 4096, 4.937e-06, 829653635.8, 829.6536358, 8394752, 0.0036476822, 2301393471, 2301.393471, 17192452096, 0.0398083956, 4.318800554e+11, 431880.0554
4096, 8192, 9.7356e-06, 841447882, 841.447882, 33566720, 0.0094039298, 3569435408, 3569.435408, 137489285120, 0.2863505468, 4.801432603e+11, 480143.2603
