n, l3_flops, l3_avg_time, dgemm (FLOPs), dgemm (GFLOPs)
16, 8960, 2.950399903e-06, 3036876456, 3.036876456
32, 68608, 1.269759923e-05, 5403226133, 5.403226133
64, 536576, 2.174079964e-05, 2.468060094e+10, 24.68060094
128, 4243456, 2.293760008e-05, 1.849999994e+11, 184.9999994
256, 33751040, 2.332800068e-05, 1.446803799e+12, 1446.803799
512, 269221888, 0.000155315196, 1.733390517e+12, 1733.390517
1024, 2150629376, 0.001179647981, 1.82311114e+12, 1823.11114
2048, 17192452096, 0.006494207773, 2.647351716e+12, 2647.351716
4096, 137489285120, 0.05000028014, 2.749770296e+12, 2749.770296
8192, 1099712954368, 0.3878440559, 2.835451356e+12, 2835.451356
